Date,Open,High,Low,Close,Total Trade Quantity,Turnover (Lacs)
21-07-10,122.1,123,121.05,121.55,658666,803.56
22-07-10,120.3,122,120.25,120.9,293312,355.17
23-07-10,121.8,121.95,120.25,120.65,281312,340.31
26-07-10,120.1,121,117.1,117.6,658440,780.01
27-07-10,117.6,119.5,112,118.65,586100,694.98
28-07-10,118,120.5,117.2,118.25,835593,994.01
29-07-10,112.5,121.7,112.5,116.6,2359134,2791.03
30-07-10,116.5,118,114.6,116.05,2656191,3112.68
02-08-10,117.3,118.5,116.6,117.3,663593,779.85
03-08-10,118.3,119.95,117.9,118.3,611234,726.78
04-08-10,118.5,119,116.1,116.5,1012396,1184.49
05-08-10,117,117,113.8,114.05,777490,893.61
06-08-10,114.1,114.9,111.75,112.1,547881,620.33
09-08-10,112,113.85,112,112.85,415026,468.6
10-08-10,112.9,114.3,111.55,112.3,327364,368.92
11-08-10,113.75,115.5,112,113.9,1307966,1499.66
12-08-10,113,114.45,112.25,112.55,434265,492.18
13-08-10,113.4,116,112.6,114.15,755675,868.71
16-08-10,115.95,115.95,110.75,111.25,818831,919.52
17-08-10,111.9,112.4,109.7,110.1,1079479,1196.57
18-08-10,110.15,111.2,108.1,108.85,959932,1052.23
19-08-10,110,114.35,108.5,113.05,1643818,1846.35
20-08-10,112,113.4,111.05,111.5,653286,732.65
23-08-10,114,118.25,112,116.7,4033916,4697.91
24-08-10,118.45,119.8,116.05,116.45,3422797,4032.37
25-08-10,116,118.7,115.4,117,1606579,1880.76
26-08-10,118.2,119.35,116.6,118.15,2531255,2997.62
27-08-10,119,119.85,117.1,117.75,1375227,1635.69
30-08-10,118.8,119.7,116.7,117.6,463046,548.13
31-08-10,117,121,116.1,120.5,2110321,2518.67
01-09-10,121.65,123.65,120.2,123,2274887,2781.63
02-09-10,124.2,124.55,122,122.4,716515,882.89
03-09-10,122.5,124,121.85,122.15,731590,899.03
06-09-10,123.25,124.65,122.8,123.15,626335,774.68
07-09-10,124,128.5,122.1,127.7,2683457,3382.09
08-09-10,128,129.8,125.1,127.25,2539739,3236.78
09-09-10,127.7,129.5,126.7,127.8,1599954,2048.51
13-09-10,128.5,128.8,125.3,125.95,1180485,1493.73
14-09-10,126.15,128.2,123.5,123.9,1439867,1801.02
15-09-10,124.85,126.5,123,123.25,1111988,1383.3
16-09-10,124,125,121.5,122.15,1073175,1319.26
17-09-10,122.8,125.35,121.6,122.65,2098722,2583.19
20-09-10,122.5,124.95,122,124.55,1073215,1328.06
21-09-10,124.55,125.65,121.05,122.5,1128334,1388.86
22-09-10,123,123.5,119.8,120.8,1032364,1256.14
23-09-10,121.6,124.25,119.9,123.55,1845230,2272.82
24-09-10,123.45,127.5,122.85,125.1,2458845,3091.76
27-09-10,126.35,126.9,123.15,123.6,1209662,1510.21
28-09-10,124.6,125.75,122.05,122.85,799399,988.66
29-09-10,123.3,124.75,121.2,121.5,984606,1206.81
30-09-10,122.3,122.7,119.15,120.2,1240038,1495.4
01-10-10,121.3,124,121.3,123.5,711861,875.04
04-10-10,124.4,125.45,123.2,124.65,670447,833.6
05-10-10,125,127.9,123.2,127,1542220,1955.79
06-10-10,128,129.9,127.1,129.3,1598194,2058.5
07-10-10,130.1,138.75,129.65,133.4,7163066,9645.18
08-10-10,134.75,135.95,131.1,132.6,1913647,2553.76
11-10-10,134.5,135.9,133.3,134.25,1052978,1417.54
12-10-10,134.5,135.75,130,131,1252217,1651.49
13-10-10,131.9,134.4,131.35,133.75,880932,1175.14
14-10-10,134.25,137,131.05,133.05,1826325,2451.46
15-10-10,134.85,134.85,128.4,129.85,1040782,1373.76
18-10-10,130.1,131,126.35,129.6,1236535,1586.54
19-10-10,131.5,132.85,128.15,129.75,916321,1196.98
20-10-10,129.25,130.75,128.5,129.35,749862,972.64
21-10-10,129.8,131.1,128.7,130.4,1293596,1675.9
22-10-10,132,132,128.05,128.55,1375503,1783.38
25-10-10,129.95,130.5,128.25,128.45,494115,637.58
26-10-10,129.2,129.6,126.7,127.35,756589,968.72
27-10-10,128.2,129.5,125.55,127.25,1116487,1423.6
28-10-10,128.9,130,127.3,128.95,1734169,2235.97
29-10-10,127.65,128,120.5,124.65,2960093,3672.24
01-11-10,126,128.4,123,124.55,1621553,2044.44
02-11-10,125.5,126.2,124.55,125.15,573772,719.46
03-11-10,126,126.7,124,124.55,602987,754.43
04-11-10,124.7,125.8,123.1,124.3,722306,897.69
05-11-10,129.45,129.45,125.2,125.6,232370,291.93
08-11-10,126,126.9,124.5,125.15,1093519,1375.42
09-11-10,125.75,128.25,124.15,127.4,1186665,1494.09
10-11-10,129,132.75,127,131.9,2011117,2637.2
11-11-10,132.7,134,127.3,128.1,1363674,1786.36
12-11-10,127.5,129.85,124.2,124.85,1155144,1465.67
15-11-10,125.85,126,123.1,124.75,490031,609.4
16-11-10,124.75,126.15,120,121.2,1118449,1363.63
18-11-10,121.8,123.5,115.3,119.6,1214961,1448.5
19-11-10,119.8,125.1,115.1,120.1,3005760,3606.3
22-11-10,120.6,120.6,117,119.9,829435,987.14
23-11-10,116.1,119.7,114.1,117.2,1306073,1525.45
24-11-10,118.1,118.9,116.15,116.8,516440,609.14
25-11-10,118.5,118.5,107.25,109.95,2586020,2873.33
26-11-10,112.4,113.5,103.5,112.45,2279992,2520.35
29-11-10,113.4,114,110.1,112.95,725219,814.61
30-11-10,112.95,113.9,111.05,112.95,993783,1120.16
01-12-10,113.5,116,113,114.75,628391,722.87
02-12-10,115.9,117.5,114.35,115.25,887683,1026.67
03-12-10,116,116,112.6,114.1,606153,692.32
06-12-10,113.2,115.65,113.2,114.95,1036023,1191.18
07-12-10,115.6,115.75,113.6,115.25,566010,649.53
08-12-10,115,115.4,113.7,114.85,1032008,1181.91
09-12-10,115.9,115.9,110.2,111.5,1285356,1454.58
10-12-10,111.5,112.9,107.35,110.95,1106252,1226.48
13-12-10,114,114.5,110.75,112.8,426795,480.35
14-12-10,113.45,114.75,112.95,114.1,449080,512.28
15-12-10,114.8,116.4,113.4,114.8,444045,509.2
16-12-10,114.8,115.5,113,115.15,298756,341.57
20-12-10,115,115.9,114,115.45,282973,326.05
21-12-10,116.95,117.8,115,115.8,759131,882.57
22-12-10,116.8,116.8,112.6,113.6,1629061,1861.9
23-12-10,114,114.9,111.7,112.4,601654,678.9
24-12-10,112.8,114,111.75,112.5,648507,730.08
27-12-10,113,113.95,109.35,109.75,923042,1022.93
28-12-10,110.8,111,108.15,109.55,859691,936.87
29-12-10,110.45,110.8,109,109.4,789049,865.96
30-12-10,110.5,110.9,106.6,107.25,2518794,2720.63
31-12-10,108.5,108.95,107.1,108.1,1258058,1361.83
03-01-11,109,112,108.15,111.5,1381804,1526.09
04-01-11,111.9,114.2,111.6,113.1,1649997,1868.15
05-01-11,113.25,113.9,111.2,112.3,712670,802.94
06-01-11,112.9,113.4,110.1,111,801491,893.5
07-01-11,112.1,113,107.1,108.3,1343822,1473.55
10-01-11,108.7,108.7,103.6,104.25,1005103,1064.43
11-01-11,104.55,105.9,101.05,101.9,979117,1009.18
12-01-11,102.7,104.2,101,103.75,438502,449.61
13-01-11,103.8,104.5,102.7,103.25,409758,423.77
14-01-11,105.1,109.7,102.8,104.4,1914263,2042.54
17-01-11,105.3,108.25,102.65,104.9,2529271,2677.65
18-01-11,105.8,106.9,104.2,104.75,384406,404.58
19-01-11,105.05,106.9,104.1,104.95,677140,713.86
20-01-11,105.1,109.1,104.2,106.5,1009083,1079.62
21-01-11,106,107.45,105.15,105.65,522747,554.28
24-01-11,104.6,106.75,104.6,106.25,259338,275.39
25-01-11,107,107.4,106.05,106.2,631517,672.88
27-01-11,106.2,108.2,105.2,106.35,1791689,1915.09
28-01-11,106,106.8,98.25,99.8,2063094,2074.8
31-01-11,99.15,100.6,95.3,99.45,922239,903.18
01-02-11,101,102,97.8,98.3,1031266,1028.77
02-02-11,98.8,100,96.6,97.35,439822,432.86
03-02-11,97.5,97.85,94.2,96.05,739877,715.02
04-02-11,96.5,97.65,94.5,95.3,857280,825.7
07-02-11,97.7,97.7,95.3,95.75,577722,556.84
08-02-11,96,96.8,92,92.5,431156,405.72
09-02-11,93,93,87,87.85,680652,613.29
10-02-11,88.2,89,84.8,88.1,989327,863.93
11-02-11,88.75,92.75,87.2,91.7,650078,583.52
14-02-11,92.45,95,92.25,94.6,477647,448.88
15-02-11,95.35,96.5,93.4,95.75,579786,550.54
16-02-11,95.85,95.95,94.15,94.45,239997,227.82
17-02-11,95.8,102.8,94.05,101.65,1893119,1890.06
18-02-11,101.5,102.5,93.65,94.5,920020,899.58
21-02-11,95.4,96.95,94.05,96.15,355646,338.76
22-02-11,96,99.35,94.4,96.4,422308,410.34
23-02-11,96.7,97.5,94.85,95.3,306107,294.25
24-02-11,95.6,96,86.9,87.4,1653543,1479.42
25-02-11,88.5,90.25,87.2,88.6,689138,612.62
28-02-11,88,90,86,89.25,735597,654.84
01-03-11,89.8,91.8,89.4,91,687513,625.57
03-03-11,91,92,90.05,90.4,874532,795.09
04-03-11,90.3,91.95,90,90.75,283108,258.3
07-03-11,90,90.75,87.85,88.75,270846,240.12
08-03-11,89,94.75,88.25,93.6,1931634,1793.76
09-03-11,94.75,98.2,94.05,96.35,3190205,3069.91
10-03-11,95.9,98,94.7,96.4,1109740,1076.86
11-03-11,96.1,105.8,95.15,101.3,9568830,9819.4
